City,Date,Precipitation Sum,Rain Sum,Precipitation Hours
London,1970-01-01,0.0,0.0,0.0
London,1970-01-02,0.3,0.3,3.0
London,1970-01-03,0.3,0.3,3.0
London,1970-01-04,0.0,0.0,0.0
London,1970-01-05,0.0,0.0,0.0
London,1970-01-06,1.4,0.2,4.0
London,1970-01-07,0.0,0.0,0.0
London,1970-01-08,4.5,0.9,8.0
London,1970-01-09,5.6,5.6,14.0
London,1970-01-10,1.2,1.2,4.0
London,1970-01-11,4.7,4.7,9.0
London,1970-01-12,0.0,0.0,0.0
London,1970-01-13,2.1,2.1,5.0
London,1970-01-14,2.8,2.8,8.0
London,1970-01-15,1.5,1.5,12.0
London,1970-01-16,1.2,1.2,12.0
London,1970-01-17,0.0,0.0,0.0
London,1970-01-18,2.8,2.8,5.0
London,1970-01-19,0.0,0.0,0.0
London,1970-01-20,1.5,1.5,5.0
London,1970-01-21,1.5,1.5,3.0
London,1970-01-22,2.1,2.1,6.0
London,1970-01-23,10.9,10.9,21.0
London,1970-01-24,4.5,4.5,6.0
London,1970-01-25,1.9,1.9,5.0
London,1970-01-26,1.0,1.0,7.0
London,1970-01-27,0.0,0.0,0.0
London,1970-01-28,0.0,0.0,0.0
London,1970-01-29,5.5,5.5,14.0
London,1970-01-30,5.4,5.4,14.0
London,1970-01-31,0.0,0.0,0.0
London,1970-02-01,3.5,3.4,9.0
London,1970-02-02,8.0,8.0,13.0
London,1970-02-03,2.0,2.0,3.0
London,1970-02-04,2.4,2.4,6.0
London,1970-02-05,0.2,0.2,2.0
London,1970-02-06,0.0,0.0,0.0
London,1970-02-07,4.6,4.6,11.0
London,1970-02-08,2.1,2.1,6.0
London,1970-02-09,0.7,0.7,5.0
London,1970-02-10,0.2,0.2,2.0
London,1970-02-11,0.0,0.0,0.0
London,1970-02-12,12.8,0.7,16.0
London,1970-02-13,0.0,0.0,0.0
London,1970-02-14,0.2,0.2,2.0
London,1970-02-15,0.0,0.0,0.0
London,1970-02-16,0.3,0.0,2.0
London,1970-02-17,5.9,0.9,8.0
London,1970-02-18,2.9,2.8,6.0
London,1970-02-19,3.5,3.5,10.0
London,1970-02-20,0.7,0.7,2.0
London,1970-02-21,8.9,8.9,13.0
London,1970-02-22,8.8,8.8,9.0
London,1970-02-23,0.0,0.0,0.0
London,1970-02-24,0.2,0.2,2.0
London,1970-02-25,0.7,0.7,5.0
London,1970-02-26,2.7,2.2,7.0
London,1970-02-27,1.2,1.2,7.0
London,1970-02-28,0.0,0.0,0.0
London,1970-03-01,0.6,0.6,6.0
London,1970-03-02,1.6,1.5,11.0
London,1970-03-03,0.0,0.0,0.0
London,1970-03-04,11.8,2.0,14.0
London,1970-03-05,0.3,0.1,2.0
London,1970-03-06,0.6,0.3,6.0
London,1970-03-07,1.9,1.1,8.0
London,1970-03-08,0.0,0.0,0.0
London,1970-03-09,0.0,0.0,0.0
London,1970-03-10,1.2,1.2,9.0
London,1970-03-11,6.4,6.2,20.0
London,1970-03-12,1.9,1.9,8.0
London,1970-03-13,0.6,0.6,6.0
London,1970-03-14,0.3,0.3,3.0
London,1970-03-15,0.0,0.0,0.0
London,1970-03-16,0.0,0.0,0.0
London,1970-03-17,1.8,1.8,7.0
London,1970-03-18,2.5,2.5,14.0
London,1970-03-19,0.0,0.0,0.0
London,1970-03-20,0.6,0.6,2.0
London,1970-03-21,1.0,1.0,8.0
London,1970-03-22,0.0,0.0,0.0
London,1970-03-23,8.2,8.2,18.0
London,1970-03-24,2.6,2.6,9.0
London,1970-03-25,0.0,0.0,0.0
London,1970-03-26,0.6,0.6,3.0
London,1970-03-27,0.1,0.1,1.0
London,1970-03-28,2.3,2.3,7.0
London,1970-03-29,0.2,0.2,2.0
London,1970-03-30,1.7,1.7,12.0
London,1970-03-31,2.5,2.5,8.0
London,1970-04-01,2.2,0.9,13.0
London,1970-04-02,0.3,0.3,3.0
London,1970-04-03,1.5,1.5,5.0
London,1970-04-04,2.5,2.5,15.0
London,1970-04-05,1.9,1.9,5.0
London,1970-04-06,8.6,8.3,14.0
London,1970-04-07,1.8,1.8,11.0
London,1970-04-08,1.9,1.9,10.0
London,1970-04-09,2.0,1.9,13.0
London,1970-04-10,5.6,5.0,16.0
London,1970-04-11,0.6,0.6,4.0
London,1970-04-12,8.8,8.8,12.0
London,1970-04-13,0.4,0.4,4.0
London,1970-04-14,0.2,0.2,1.0
London,1970-04-15,2.4,2.4,12.0
London,1970-04-16,0.9,0.9,3.0
London,1970-04-17,0.3,0.3,2.0
London,1970-04-18,0.3,0.3,3.0
London,1970-04-19,1.0,1.0,8.0
London,1970-04-20,0.6,0.6,4.0
London,1970-04-21,5.3,5.3,12.0
London,1970-04-22,0.2,0.2,2.0
London,1970-04-23,1.9,1.9,13.0
London,1970-04-24,3.2,3.2,9.0
London,1970-04-25,4.6,4.6,13.0
London,1970-04-26,4.1,4.1,18.0
London,1970-04-27,1.3,1.3,10.0
London,1970-04-28,1.2,1.2,5.0
London,1970-04-29,2.2,2.2,9.0
London,1970-04-30,0.3,0.3,3.0
London,1970-05-01,1.6,1.6,4.0
London,1970-05-02,0.0,0.0,0.0
London,1970-05-03,0.0,0.0,0.0
London,1970-05-04,0.0,0.0,0.0
London,1970-05-05,0.0,0.0,0.0
London,1970-05-06,2.1,2.1,4.0
London,1970-05-07,10.2,10.2,14.0
London,1970-05-08,2.6,2.6,6.0
London,1970-05-09,0.4,0.4,3.0
London,1970-05-10,6.6,6.6,14.0
London,1970-05-11,7.0,7.0,14.0
London,1970-05-12,0.7,0.7,2.0
London,1970-05-13,0.1,0.1,1.0
London,1970-05-14,2.1,2.1,7.0
London,1970-05-15,0.0,0.0,0.0
London,1970-05-16,0.1,0.1,1.0
London,1970-05-17,0.8,0.8,8.0
London,1970-05-18,0.0,0.0,0.0
London,1970-05-19,0.0,0.0,0.0
London,1970-05-20,0.0,0.0,0.0
London,1970-05-21,0.5,0.5,5.0
London,1970-05-22,0.0,0.0,0.0
London,1970-05-23,0.0,0.0,0.0
London,1970-05-24,0.0,0.0,0.0
London,1970-05-25,0.0,0.0,0.0
London,1970-05-26,0.0,0.0,0.0
London,1970-05-27,0.0,0.0,0.0
London,1970-05-28,2.7,2.7,10.0
London,1970-05-29,1.7,1.7,13.0
London,1970-05-30,0.2,0.2,2.0
London,1970-05-31,0.0,0.0,0.0
London,1970-06-01,0.1,0.1,1.0
London,1970-06-02,0.0,0.0,0.0
London,1970-06-03,0.0,0.0,0.0
London,1970-06-04,0.0,0.0,0.0
London,1970-06-05,0.0,0.0,0.0
London,1970-06-06,0.0,0.0,0.0
London,1970-06-07,0.5,0.5,4.0
London,1970-06-08,0.5,0.5,1.0
London,1970-06-09,1.1,1.1,2.0
London,1970-06-10,0.4,0.4,3.0
London,1970-06-11,0.6,0.6,3.0
London,1970-06-12,1.1,1.1,6.0
London,1970-06-13,0.5,0.5,2.0
London,1970-06-14,0.0,0.0,0.0
London,1970-06-15,0.0,0.0,0.0
London,1970-06-16,0.0,0.0,0.0
London,1970-06-17,8.3,8.3,9.0
London,1970-06-18,5.2,5.2,7.0
